date,product,campaign,channel,spend,revenue,leads,roas
2026-07-31,Solara Fitband,Campaign 2,Facebook,7100,24041,7,3.39
2026-07-31,Solara Fitband,Campaign 2,Instagram,8600,30300,8,3.52
2026-07-31,Solara Fitband,Campaign 2,LinkedIn,3000,7841,2,2.61
2026-07-31,Aurelia Jewellery,Campaign 1,Google Ads,7600,21790,4,2.87
2026-07-31,Aurelia Jewellery,Campaign 1,Facebook,13700,49208,9,3.59
2026-07-31,Aurelia Jewellery,Campaign 1,Instagram,16700,62427,10,3.74
2026-07-31,Aurelia Jewellery,Campaign 1,LinkedIn,3100,7571,1,2.44
2026-07-31,Aurelia Jewellery,Campaign 2,Google Ads,4700,13602,2,2.89
2026-07-31,Aurelia Jewellery,Campaign 2,Facebook,8700,31741,5,3.65
2026-07-31,Aurelia Jewellery,Campaign 2,Instagram,11400,44245,8,3.88
2026-07-31,Aurelia Jewellery,Campaign 2,LinkedIn,2000,4776,1,2.39
2026-08-01,Vantage CRM,Campaign 1,Google Ads,17800,57657,1,3.24
2026-08-01,Vantage CRM,Campaign 1,Facebook,9200,26193,1,2.85
2026-08-01,Vantage CRM,Campaign 1,Instagram,3400,8195,1,2.41
2026-08-01,Vantage CRM,Campaign 1,LinkedIn,17100,60130,1,3.52
2026-08-01,Vantage CRM,Campaign 2,Google Ads,13300,45061,1,3.39
2026-08-01,Vantage CRM,Campaign 2,Facebook,6000,15766,1,2.63
2026-08-01,Vantage CRM,Campaign 2,Instagram,2400,5428,1,2.26
2026-08-01,Vantage CRM,Campaign 2,LinkedIn,12000,41024,1,3.42
2026-08-01,Lumiere Skincare,Campaign 1,Google Ads,5500,18695,8,3.4
2026-08-01,Lumiere Skincare,Campaign 1,Facebook,15900,61499,27,3.87
2026-08-01,Lumiere Skincare,Campaign 1,Instagram,18200,80229,31,4.41
2026-08-01,Lumiere Skincare,Campaign 1,LinkedIn,2000,5269,2,2.63
2026-08-01,Lumiere Skincare,Campaign 2,Google Ads,4300,15851,6,3.69
2026-08-01,Lumiere Skincare,Campaign 2,Facebook,10900,44217,20,4.06
2026-08-01,Lumiere Skincare,Campaign 2,Instagram,11800,48394,18,4.1
2026-08-01,Lumiere Skincare,Campaign 2,LinkedIn,1300,3489,1,2.68
2026-08-01,Solara Fitband,Campaign 1,Google Ads,12300,46134,12,3.75
2026-08-01,Solara Fitband,Campaign 1,Facebook,9200,28751,8,3.13
2026-08-01,Solara Fitband,Campaign 1,Instagram,12000,45994,13,3.83
2026-08-01,Solara Fitband,Campaign 1,LinkedIn,4000,10403,3,2.6
2026-08-01,Solara Fitband,Campaign 2,Google Ads,8600,30163,8,3.51
2026-08-01,Solara Fitband,Campaign 2,Facebook,5300,15614,5,2.95
2026-08-01,Solara Fitband,Campaign 2,Instagram,7300,26169,8,3.58
2026-08-01,Solara Fitband,Campaign 2,LinkedIn,2500,6319,2,2.53
2026-08-01,Aurelia Jewellery,Campaign 1,Google Ads,6900,21642,3,3.14
2026-08-01,Aurelia Jewellery,Campaign 1,Facebook,11100,36221,6,3.26
2026-08-01,Aurelia Jewellery,Campaign 1,Instagram,14400,51904,9,3.6
2026-08-01,Aurelia Jewellery,Campaign 1,LinkedIn,2900,7728,1,2.66
2026-08-01,Aurelia Jewellery,Campaign 2,Google Ads,4700,14113,2,3.0
2026-08-01,Aurelia Jewellery,Campaign 2,Facebook,7600,25643,4,3.37
2026-08-01,Aurelia Jewellery,Campaign 2,Instagram,9100,35074,6,3.85
2026-08-01,Aurelia Jewellery,Campaign 2,LinkedIn,2000,5354,1,2.68
2026-08-02,Vantage CRM,Campaign 1,Google Ads,19200,69910,2,3.64
2026-08-02,Vantage CRM,Campaign 1,Facebook,7900,20039,1,2.54
2026-08-02,Vantage CRM,Campaign 1,Instagram,3000,6614,1,2.2
2026-08-02,Vantage CRM,Campaign 1,LinkedIn,17200,59339,1,3.45
2026-08-02,Vantage CRM,Campaign 2,Google Ads,11800,41507,1,3.52
2026-08-02,Vantage CRM,Campaign 2,Facebook,5300,15187,1,2.87
2026-08-02,Vantage CRM,Campaign 2,Instagram,2100,5180,1,2.47
2026-08-02,Vantage CRM,Campaign 2,LinkedIn,11100,39501,1,3.56
2026-08-02,Lumiere Skincare,Campaign 1,Google Ads,5500,19583,8,3.56
2026-08-02,Lumiere Skincare,Campaign 1,Facebook,14600,56946,22,3.9
2026-08-02,Lumiere Skincare,Campaign 1,Instagram,17400,69068,28,3.97
2026-08-02,Lumiere Skincare,Campaign 1,LinkedIn,2000,5168,2,2.58
2026-08-02,Lumiere Skincare,Campaign 2,Google Ads,4100,14789,5,3.61
2026-08-02,Lumiere Skincare,Campaign 2,Facebook,11000,47181,22,4.29
2026-08-02,Lumiere Skincare,Campaign 2,Instagram,10200,42215,15,4.14
2026-08-02,Lumiere Skincare,Campaign 2,LinkedIn,1400,3776,1,2.7
2026-08-02,Solara Fitband,Campaign 1,Google Ads,12700,51437,16,4.05
2026-08-02,Solara Fitband,Campaign 1,Facebook,8100,24466,8,3.02
2026-08-02,Solara Fitband,Campaign 1,Instagram,12000,44585,11,3.72
2026-08-02,Solara Fitband,Campaign 1,LinkedIn,3400,9106,3,2.68
2026-08-02,Solara Fitband,Campaign 2,Google Ads,7900,32125,10,4.07
2026-08-02,Solara Fitband,Campaign 2,Facebook,6000,17921,6,2.99
2026-08-02,Solara Fitband,Campaign 2,Instagram,7200,27425,8,3.81
2026-08-02,Solara Fitband,Campaign 2,LinkedIn,2400,6293,2,2.62
2026-08-02,Aurelia Jewellery,Campaign 1,Google Ads,6500,18343,3,2.82
2026-08-02,Aurelia Jewellery,Campaign 1,Facebook,10400,33150,5,3.19
2026-08-02,Aurelia Jewellery,Campaign 1,Instagram,12500,42853,7,3.43
2026-08-02,Aurelia Jewellery,Campaign 1,LinkedIn,2600,6770,1,2.6
2026-08-02,Aurelia Jewellery,Campaign 2,Google Ads,4600,13089,2,2.85
2026-08-02,Aurelia Jewellery,Campaign 2,Facebook,6600,21544,3,3.26
2026-08-02,Aurelia Jewellery,Campaign 2,Instagram,9600,34842,5,3.63
2026-08-02,Aurelia Jewellery,Campaign 2,LinkedIn,1800,4813,1,2.67
2026-08-03,Vantage CRM,Campaign 1,Google Ads,23300,78360,2,3.36
2026-08-03,Vantage CRM,Campaign 1,Facebook,10500,27865,1,2.65
2026-08-03,Vantage CRM,Campaign 1,Instagram,4000,9910,1,2.48
2026-08-03,Vantage CRM,Campaign 1,LinkedIn,20500,69888,2,3.41
2026-08-03,Vantage CRM,Campaign 2,Google Ads,14300,47434,1,3.32
2026-08-03,Vantage CRM,Campaign 2,Facebook,6100,15339,1,2.51
2026-08-03,Vantage CRM,Campaign 2,Instagram,2400,5223,1,2.18
2026-08-03,Vantage CRM,Campaign 2,LinkedIn,13700,47890,1,3.5
2026-08-03,Lumiere Skincare,Campaign 1,Google Ads,6600,22780,9,3.45
2026-08-03,Lumiere Skincare,Campaign 1,Facebook,17200,66656,26,3.88
2026-08-03,Lumiere Skincare,Campaign 1,Instagram,18300,84504,39,4.62
2026-08-03,Lumiere Skincare,Campaign 1,LinkedIn,2300,6177,3,2.69
2026-08-03,Lumiere Skincare,Campaign 2,Google Ads,4400,15477,5,3.52
2026-08-03,Lumiere Skincare,Campaign 2,Facebook,11300,46142,18,4.08
2026-08-03,Lumiere Skincare,Campaign 2,Instagram,12000,51639,18,4.3
2026-08-03,Lumiere Skincare,Campaign 2,LinkedIn,1500,3924,2,2.62
2026-08-03,Solara Fitband,Campaign 1,Google Ads,13600,47732,13,3.51
2026-08-03,Solara Fitband,Campaign 1,Facebook,9300,30168,9,3.24
2026-08-03,Solara Fitband,Campaign 1,Instagram,14300,52778,16,3.69
2026-08-03,Solara Fitband,Campaign 1,LinkedIn,4600,11749,3,2.55
2026-08-03,Solara Fitband,Campaign 2,Google Ads,10900,39097,12,3.59
2026-08-03,Solara Fitband,Campaign 2,Facebook,6700,19875,6,2.97
2026-08-03,Solara Fitband,Campaign 2,Instagram,9800,35999,11,3.67
2026-08-03,Solara Fitband,Campaign 2,LinkedIn,3000,7350,2,2.45
2026-08-03,Aurelia Jewellery,Campaign 1,Google Ads,7900,24970,5,3.16
2026-08-03,Aurelia Jewellery,Campaign 1,Facebook,13500,46517,9,3.45
2026-08-03,Aurelia Jewellery,Campaign 1,Instagram,16400,60866,9,3.71
2026-08-03,Aurelia Jewellery,Campaign 1,LinkedIn,2900,6824,1,2.35
2026-08-03,Aurelia Jewellery,Campaign 2,Google Ads,4900,15490,3,3.16
2026-08-03,Aurelia Jewellery,Campaign 2,Facebook,8700,30177,5,3.47
2026-08-03,Aurelia Jewellery,Campaign 2,Instagram,10500,34796,6,3.31
2026-08-03,Aurelia Jewellery,Campaign 2,LinkedIn,2200,5503,1,2.5
2026-08-04,Vantage CRM,Campaign 1,Google Ads,22700,71821,2,3.16
2026-08-04,Vantage CRM,Campaign 1,Facebook,9400,23652,1,2.52
2026-08-04,Vantage CRM,Campaign 1,Instagram,4000,8766,1,2.19
2026-08-04,Vantage CRM,Campaign 1,LinkedIn,21100,69563,1,3.3
2026-08-04,Vantage CRM,Campaign 2,Google Ads,14600,51099,1,3.5
2026-08-04,Vantage CRM,Campaign 2,Facebook,6800,18779,1,2.76
2026-08-04,Vantage CRM,Campaign 2,Instagram,2400,5303,1,2.21
2026-08-04,Vantage CRM,Campaign 2,LinkedIn,12300,41030,1,3.34
2026-08-04,Lumiere Skincare,Campaign 1,Google Ads,6300,21841,9,3.47
2026-08-04,Lumiere Skincare,Campaign 1,Facebook,18100,76296,29,4.22
2026-08-04,Lumiere Skincare,Campaign 1,Instagram,19300,82521,33,4.28
2026-08-04,Lumiere Skincare,Campaign 1,LinkedIn,2100,6250,2,2.98
2026-08-04,Lumiere Skincare,Campaign 2,Google Ads,5000,19256,7,3.85
2026-08-04,Lumiere Skincare,Campaign 2,Facebook,11500,49563,23,4.31
2026-08-04,Lumiere Skincare,Campaign 2,Instagram,12700,52589,19,4.14
2026-08-04,Lumiere Skincare,Campaign 2,LinkedIn,1700,4540,2,2.67
2026-08-04,Solara Fitband,Campaign 1,Google Ads,13900,53023,17,3.81
2026-08-04,Solara Fitband,Campaign 1,Facebook,9100,30612,9,3.36
2026-08-04,Solara Fitband,Campaign 1,Instagram,14800,55013,14,3.72
2026-08-04,Solara Fitband,Campaign 1,LinkedIn,4600,11933,3,2.59
2026-08-04,Solara Fitband,Campaign 2,Google Ads,9000,34155,10,3.79
2026-08-04,Solara Fitband,Campaign 2,Facebook,6300,19001,5,3.02
2026-08-04,Solara Fitband,Campaign 2,Instagram,8800,33405,8,3.8
2026-08-04,Solara Fitband,Campaign 2,LinkedIn,3000,8223,2,2.74
2026-08-04,Aurelia Jewellery,Campaign 1,Google Ads,8600,26679,5,3.1
2026-08-04,Aurelia Jewellery,Campaign 1,Facebook,12200,40632,7,3.33
2026-08-04,Aurelia Jewellery,Campaign 1,Instagram,17500,63899,10,3.65
2026-08-04,Aurelia Jewellery,Campaign 1,LinkedIn,3100,7471,1,2.41
2026-08-04,Aurelia Jewellery,Campaign 2,Google Ads,4900,15487,2,3.16
2026-08-04,Aurelia Jewellery,Campaign 2,Facebook,9200,30025,5,3.26
2026-08-04,Aurelia Jewellery,Campaign 2,Instagram,10600,36266,6,3.42
2026-08-04,Aurelia Jewellery,Campaign 2,LinkedIn,2300,6104,1,2.65
2026-08-05,Vantage CRM,Campaign 1,Google Ads,22700,82285,2,3.62
2026-08-05,Vantage CRM,Campaign 1,Facebook,10000,27949,1,2.79
2026-08-05,Vantage CRM,Campaign 1,Instagram,4000,9128,1,2.28
2026-08-05,Vantage CRM,Campaign 1,LinkedIn,19900,63424,1,3.19
2026-08-05,Vantage CRM,Campaign 2,Google Ads,16000,51156,1,3.2
2026-08-05,Vantage CRM,Campaign 2,Facebook,6400,16721,1,2.61
2026-08-05,Vantage CRM,Campaign 2,Instagram,2800,6193,1,2.21
2026-08-05,Vantage CRM,Campaign 2,LinkedIn,12400,41295,1,3.33
2026-08-05,Lumiere Skincare,Campaign 1,Google Ads,6400,21793,8,3.41
2026-08-05,Lumiere Skincare,Campaign 1,Facebook,18900,77454,28,4.1
2026-08-05,Lumiere Skincare,Campaign 1,Instagram,20900,97009,38,4.64
2026-08-05,Lumiere Skincare,Campaign 1,LinkedIn,2100,5591,2,2.66
2026-08-05,Lumiere Skincare,Campaign 2,Google Ads,4500,15140,6,3.36
2026-08-05,Lumiere Skincare,Campaign 2,Facebook,11100,46017,21,4.15
2026-08-05,Lumiere Skincare,Campaign 2,Instagram,13500,57240,22,4.24
2026-08-05,Lumiere Skincare,Campaign 2,LinkedIn,1500,4117,2,2.74
2026-08-05,Solara Fitband,Campaign 1,Google Ads,13700,50207,16,3.66
2026-08-05,Solara Fitband,Campaign 1,Facebook,9100,29136,9,3.2
2026-08-05,Solara Fitband,Campaign 1,Instagram,14700,50515,13,3.44
2026-08-05,Solara Fitband,Campaign 1,LinkedIn,4100,10489,3,2.56
2026-08-05,Solara Fitband,Campaign 2,Google Ads,10900,43731,14,4.01
2026-08-05,Solara Fitband,Campaign 2,Facebook,6000,17763,5,2.96
2026-08-05,Solara Fitband,Campaign 2,Instagram,9900,35488,10,3.58
2026-08-05,Solara Fitband,Campaign 2,LinkedIn,2600,6643,2,2.55
2026-08-05,Aurelia Jewellery,Campaign 1,Google Ads,8500,26950,5,3.17
2026-08-05,Aurelia Jewellery,Campaign 1,Facebook,12100,38567,6,3.19
2026-08-05,Aurelia Jewellery,Campaign 1,Instagram,16000,59278,11,3.7
2026-08-05,Aurelia Jewellery,Campaign 1,LinkedIn,3300,8444,2,2.56
2026-08-05,Aurelia Jewellery,Campaign 2,Google Ads,5300,16031,2,3.02
2026-08-05,Aurelia Jewellery,Campaign 2,Facebook,9000,29291,5,3.25
2026-08-05,Aurelia Jewellery,Campaign 2,Instagram,10900,38008,6,3.49
2026-08-05,Aurelia Jewellery,Campaign 2,LinkedIn,2000,5109,1,2.55
2026-08-06,Vantage CRM,Campaign 1,Google Ads,20400,64592,1,3.17
2026-08-06,Vantage CRM,Campaign 1,Facebook,10100,26782,1,2.65
2026-08-06,Vantage CRM,Campaign 1,Instagram,4000,8479,1,2.12
2026-08-06,Vantage CRM,Campaign 1,LinkedIn,19200,68013,2,3.54
2026-08-06,Vantage CRM,Campaign 2,Google Ads,15900,53846,1,3.39
2026-08-06,Vantage CRM,Campaign 2,Facebook,6300,18264,1,2.9
2026-08-06,Vantage CRM,Campaign 2,Instagram,2500,5310,1,2.12
2026-08-06,Vantage CRM,Campaign 2,LinkedIn,13400,43654,1,3.26
2026-08-06,Lumiere Skincare,Campaign 1,Google Ads,7200,27683,10,3.84
2026-08-06,Lumiere Skincare,Campaign 1,Facebook,15900,63501,25,3.99
2026-08-06,Lumiere Skincare,Campaign 1,Instagram,20100,82255,36,4.09
2026-08-06,Lumiere Skincare,Campaign 1,LinkedIn,2400,6725,2,2.8
2026-08-06,Lumiere Skincare,Campaign 2,Google Ads,5100,17807,8,3.49
2026-08-06,Lumiere Skincare,Campaign 2,Facebook,11100,43482,19,3.92
2026-08-06,Lumiere Skincare,Campaign 2,Instagram,12400,57175,23,4.61
2026-08-06,Lumiere Skincare,Campaign 2,LinkedIn,1400,3746,1,2.68
2026-08-06,Solara Fitband,Campaign 1,Google Ads,15600,63536,16,4.07
2026-08-06,Solara Fitband,Campaign 1,Facebook,9700,29614,10,3.05
2026-08-06,Solara Fitband,Campaign 1,Instagram,12800,42776,11,3.34
2026-08-06,Solara Fitband,Campaign 1,LinkedIn,4200,11616,4,2.77
2026-08-06,Solara Fitband,Campaign 2,Google Ads,10500,43076,14,4.1
2026-08-06,Solara Fitband,Campaign 2,Facebook,6400,19449,6,3.04
2026-08-06,Solara Fitband,Campaign 2,Instagram,9600,31972,10,3.33
2026-08-06,Solara Fitband,Campaign 2,LinkedIn,2800,7133,2,2.55
2026-08-06,Aurelia Jewellery,Campaign 1,Google Ads,7500,20710,3,2.76
2026-08-06,Aurelia Jewellery,Campaign 1,Facebook,12400,45233,7,3.65
2026-08-06,Aurelia Jewellery,Campaign 1,Instagram,17500,60051,10,3.43
2026-08-06,Aurelia Jewellery,Campaign 1,LinkedIn,3400,8938,1,2.63
2026-08-06,Aurelia Jewellery,Campaign 2,Google Ads,4900,14638,2,2.99
2026-08-06,Aurelia Jewellery,Campaign 2,Facebook,9300,30067,5,3.23
2026-08-06,Aurelia Jewellery,Campaign 2,Instagram,11500,38289,6,3.33
2026-08-06,Aurelia Jewellery,Campaign 2,LinkedIn,2300,5995,1,2.61
2026-08-07,Vantage CRM,Campaign 1,Google Ads,20200,63873,2,3.16
2026-08-07,Vantage CRM,Campaign 1,Facebook,9500,26665,1,2.81
2026-08-07,Vantage CRM,Campaign 1,Instagram,3800,8422,1,2.22
2026-08-07,Vantage CRM,Campaign 1,LinkedIn,19900,63171,1,3.17
2026-08-07,Vantage CRM,Campaign 2,Google Ads,14300,46875,1,3.28
2026-08-07,Vantage CRM,Campaign 2,Facebook,7000,20159,1,2.88
2026-08-07,Vantage CRM,Campaign 2,Instagram,2800,5950,1,2.12
2026-08-07,Vantage CRM,Campaign 2,LinkedIn,12900,45681,1,3.54
2026-08-07,Lumiere Skincare,Campaign 1,Google Ads,6800,23505,9,3.46
2026-08-07,Lumiere Skincare,Campaign 1,Facebook,17600,77103,28,4.38
2026-08-07,Lumiere Skincare,Campaign 1,Instagram,20600,91960,40,4.46
2026-08-07,Lumiere Skincare,Campaign 1,LinkedIn,2400,6835,3,2.85
2026-08-07,Lumiere Skincare,Campaign 2,Google Ads,4500,15842,7,3.52
2026-08-07,Lumiere Skincare,Campaign 2,Facebook,10800,42136,18,3.9
2026-08-07,Lumiere Skincare,Campaign 2,Instagram,12300,49207,17,4.0
2026-08-07,Lumiere Skincare,Campaign 2,LinkedIn,1600,4355,2,2.72
2026-08-07,Solara Fitband,Campaign 1,Google Ads,16300,66775,18,4.1
2026-08-07,Solara Fitband,Campaign 1,Facebook,9100,27240,8,2.99
2026-08-07,Solara Fitband,Campaign 1,Instagram,14400,51400,14,3.57
2026-08-07,Solara Fitband,Campaign 1,LinkedIn,4300,11395,3,2.65
2026-08-07,Solara Fitband,Campaign 2,Google Ads,10600,42516,13,4.01
2026-08-07,Solara Fitband,Campaign 2,Facebook,6100,20585,6,3.37
2026-08-07,Solara Fitband,Campaign 2,Instagram,9400,33152,10,3.53
2026-08-07,Solara Fitband,Campaign 2,LinkedIn,2700,6736,2,2.49
2026-08-07,Aurelia Jewellery,Campaign 1,Google Ads,7500,23883,4,3.18
2026-08-07,Aurelia Jewellery,Campaign 1,Facebook,12400,41459,8,3.34
2026-08-07,Aurelia Jewellery,Campaign 1,Instagram,16100,55469,10,3.45
2026-08-07,Aurelia Jewellery,Campaign 1,LinkedIn,3300,8898,1,2.7
2026-08-07,Aurelia Jewellery,Campaign 2,Google Ads,5300,16712,3,3.15
2026-08-07,Aurelia Jewellery,Campaign 2,Facebook,9300,29295,5,3.15
2026-08-07,Aurelia Jewellery,Campaign 2,Instagram,9900,33870,6,3.42
2026-08-07,Aurelia Jewellery,Campaign 2,LinkedIn,2200,5879,1,2.67
2026-08-08,Vantage CRM,Campaign 1,Google Ads,20800,70144,1,3.37
2026-08-08,Vantage CRM,Campaign 1,Facebook,9200,26611,1,2.89
2026-08-08,Vantage CRM,Campaign 1,Instagram,3500,8204,1,2.34
2026-08-08,Vantage CRM,Campaign 1,LinkedIn,16600,51637,1,3.11
2026-08-08,Vantage CRM,Campaign 2,Google Ads,12300,42485,1,3.45
2026-08-08,Vantage CRM,Campaign 2,Facebook,5500,13689,1,2.49
2026-08-08,Vantage CRM,Campaign 2,Instagram,2300,5024,1,2.18
2026-08-08,Vantage CRM,Campaign 2,LinkedIn,10700,36978,1,3.46
2026-08-08,Lumiere Skincare,Campaign 1,Google Ads,5500,18537,7,3.37
2026-08-08,Lumiere Skincare,Campaign 1,Facebook,15500,64965,23,4.19
2026-08-08,Lumiere Skincare,Campaign 1,Instagram,15900,70508,27,4.43
2026-08-08,Lumiere Skincare,Campaign 1,LinkedIn,1900,5156,2,2.71
2026-08-08,Lumiere Skincare,Campaign 2,Google Ads,3900,14189,5,3.64
2026-08-08,Lumiere Skincare,Campaign 2,Facebook,10100,43823,20,4.34
2026-08-08,Lumiere Skincare,Campaign 2,Instagram,11000,45008,19,4.09
2026-08-08,Lumiere Skincare,Campaign 2,LinkedIn,1300,3352,2,2.58
2026-08-08,Solara Fitband,Campaign 1,Google Ads,13000,51932,14,3.99
2026-08-08,Solara Fitband,Campaign 1,Facebook,9400,29892,8,3.18
2026-08-08,Solara Fitband,Campaign 1,Instagram,10900,39564,12,3.63
2026-08-08,Solara Fitband,Campaign 1,LinkedIn,4100,9959,3,2.43
2026-08-08,Solara Fitband,Campaign 2,Google Ads,8600,32703,8,3.8
2026-08-08,Solara Fitband,Campaign 2,Facebook,5500,17660,6,3.21
2026-08-08,Solara Fitband,Campaign 2,Instagram,7400,26600,8,3.59
2026-08-08,Solara Fitband,Campaign 2,LinkedIn,2800,6927,2,2.47
2026-08-08,Aurelia Jewellery,Campaign 1,Google Ads,7600,24535,4,3.23
2026-08-08,Aurelia Jewellery,Campaign 1,Facebook,10200,37045,6,3.63
2026-08-08,Aurelia Jewellery,Campaign 1,Instagram,15200,55774,10,3.67
2026-08-08,Aurelia Jewellery,Campaign 1,LinkedIn,2600,6797,1,2.61
2026-08-08,Aurelia Jewellery,Campaign 2,Google Ads,4600,14565,3,3.17
2026-08-08,Aurelia Jewellery,Campaign 2,Facebook,7000,22727,4,3.25
2026-08-08,Aurelia Jewellery,Campaign 2,Instagram,9400,33210,5,3.53
2026-08-08,Aurelia Jewellery,Campaign 2,LinkedIn,1800,4662,1,2.59
2026-08-09,Vantage CRM,Campaign 1,Google Ads,17700,60780,1,3.43
2026-08-09,Vantage CRM,Campaign 1,Facebook,8000,22769,1,2.85
2026-08-09,Vantage CRM,Campaign 1,Instagram,3500,8114,1,2.32
2026-08-09,Vantage CRM,Campaign 1,LinkedIn,16400,53428,1,3.26
2026-08-09,Vantage CRM,Campaign 2,Google Ads,12800,44626,1,3.49
2026-08-09,Vantage CRM,Campaign 2,Facebook,5800,14466,1,2.49
2026-08-09,Vantage CRM,Campaign 2,Instagram,2300,5066,1,2.2
2026-08-09,Vantage CRM,Campaign 2,LinkedIn,12000,39336,1,3.28
2026-08-09,Lumiere Skincare,Campaign 1,Google Ads,6100,20579,7,3.37
2026-08-09,Lumiere Skincare,Campaign 1,Facebook,15200,58249,23,3.83
2026-08-09,Lumiere Skincare,Campaign 1,Instagram,17100,68127,28,3.98
2026-08-09,Lumiere Skincare,Campaign 1,LinkedIn,1900,5519,2,2.9
2026-08-09,Lumiere Skincare,Campaign 2,Google Ads,4100,13707,5,3.34
2026-08-09,Lumiere Skincare,Campaign 2,Facebook,10000,43958,16,4.4
2026-08-09,Lumiere Skincare,Campaign 2,Instagram,12200,56624,24,4.64
2026-08-09,Lumiere Skincare,Campaign 2,LinkedIn,1400,3728,2,2.66
2026-08-09,Solara Fitband,Campaign 1,Google Ads,13200,53825,17,4.08
2026-08-09,Solara Fitband,Campaign 1,Facebook,8100,27116,9,3.35
2026-08-09,Solara Fitband,Campaign 1,Instagram,11100,39007,12,3.51
2026-08-09,Solara Fitband,Campaign 1,LinkedIn,3500,9677,3,2.76
